Line,File
RIL210,RIL210_trim_R[12].fastq.gz,Pop1
RIL80,RIL80_trim_R[12].fastq.gz,Pop1
RIL89,RIL89_trim_R[12].fastq.gz,Pop1
RIL46,RIL46_trim_R[12].fastq.gz,Pop1
RIL1,RIL1_trim_R[12].fastq.gz,Pop1
RIL247,RIL247_trim_R[12].fastq.gz,Pop1
RIL26,RIL26_trim_R[12].fastq.gz,Pop1
RIL134,RIL134_trim_R[12].fastq.gz,Pop1
RIL71,RIL71_trim_R[12].fastq.gz,Pop1
RIL58,RIL58_trim_R[12].fastq.gz,Pop1
RIL30,RIL30_trim_R[12].fastq.gz,Pop1
RIL113,RIL113_trim_R[12].fastq.gz,Pop1
RIL131,RIL131_trim_R[12].fastq.gz,Pop1
RIL250,RIL250_trim_R[12].fastq.gz,Pop1
RIL201,RIL201_trim_R[12].fastq.gz,Pop1
RIL19,RIL19_trim_R[12].fastq.gz,Pop1
RIL37,RIL37_trim_R[12].fastq.gz,Pop1
RIL45,RIL45_trim_R[12].fastq.gz,Pop1
RIL189,RIL189_trim_R[12].fastq.gz,Pop1
RIL246,RIL246_trim_R[12].fastq.gz,Pop1
RIL144,RIL144_trim_R[12].fastq.gz,Pop1
RIL148,RIL148_trim_R[12].fastq.gz,Pop1
RIL8,RIL8_trim_R[12].fastq.gz,Pop1
RIL234,RIL234_trim_R[12].fastq.gz,Pop1
RIL52,RIL52_trim_R[12].fastq.gz,Pop1
RIL140,RIL140_trim_R[12].fastq.gz,Pop1
RIL169,RIL169_trim_R[12].fastq.gz,Pop1
RIL270,RIL270_trim_R[12].fastq.gz,Pop1
RIL66,RIL66_trim_R[12].fastq.gz,Pop1
RIL153,RIL153_trim_R[12].fastq.gz,Pop1
RIL252,RIL252_trim_R[12].fastq.gz,Pop1
RIL35,RIL35_trim_R[12].fastq.gz,Pop1
RIL183,RIL183_trim_R[12].fastq.gz,Pop1
RIL68,RIL68_trim_R[12].fastq.gz,Pop1
RIL114,RIL114_trim_R[12].fastq.gz,Pop1
RIL177,RIL177_trim_R[12].fastq.gz,Pop1
RIL141,RIL141_trim_R[12].fastq.gz,Pop1
RIL12,RIL12_trim_R[12].fastq.gz,Pop1
RIL24,RIL24_trim_R[12].fastq.gz,Pop1
RIL107,RIL107_trim_R[12].fastq.gz,Pop1
RIL228,RIL228_trim_R[12].fastq.gz,Pop1
RIL249,RIL249_trim_R[12].fastq.gz,Pop1
RIL40,RIL40_trim_R[12].fastq.gz,Pop1
RIL203,RIL203_trim_R[12].fastq.gz,Pop1
RIL59,RIL59_trim_R[12].fastq.gz,Pop1
RIL265,RIL265_trim_R[12].fastq.gz,Pop1
RIL34,RIL34_trim_R[12].fastq.gz,Pop1
RIL44,RIL44_trim_R[12].fastq.gz,Pop1
RIL11,RIL11_trim_R[12].fastq.gz,Pop1
RIL207,RIL207_trim_R[12].fastq.gz,Pop1
RIL145,RIL145_trim_R[12].fastq.gz,Pop1
RIL36,RIL36_trim_R[12].fastq.gz,Pop1
RIL22,RIL22_trim_R[12].fastq.gz,Pop1
RIL29,RIL29_trim_R[12].fastq.gz,Pop1
RIL232,RIL232_trim_R[12].fastq.gz,Pop1
RIL99,RIL99_trim_R[12].fastq.gz,Pop1
RIL50,RIL50_trim_R[12].fastq.gz,Pop1
RIL103,RIL103_trim_R[12].fastq.gz,Pop1
RIL245,RIL245_trim_R[12].fastq.gz,Pop1
RIL133,RIL133_trim_R[12].fastq.gz,Pop1
RIL118,RIL118_trim_R[12].fastq.gz,Pop1
RIL95,RIL95_trim_R[12].fastq.gz,Pop1
RIL255,RIL255_trim_R[12].fastq.gz,Pop1
RIL16,RIL16_trim_R[12].fastq.gz,Pop1
RIL83,RIL83_trim_R[12].fastq.gz,Pop1
